Date Collected,Instrument,Site,F0 (Hz),"""+/-"" (Hz)",300,337,400,350,upper uncertainty based on Fo analysis (m),lower uncertainty based on Fo analysis (m),total uncertainty range (m),Next to Borehole?,In the range (Hz),Notes: (former value shown in parenthesis),,"Quality Factor (1=good, 2=fair,3=poor, 4=not usable)",Sampling Frequency,Trace Length (minutes),Window Length (seconds),lat,long,,,,
14-Jun-21,Tromino,494GB01,7.00,0.15,10.71,12.04,14.29,12.50,12.77,12.24,0.54,no,5to64,analyis constrained to >5 Hz due to low frequency noise,,2,128,14,30.0,38.909350,-107.029000,,,,
14-Jun-21,Tromino,486GB01,6.50,0.21,11.54,12.96,15.38,13.46,13.91,13.04,0.87,no,1to64,analyis constrained to >1 Hz due to low frequency noise,,1,128,14,20.0,38.909140,-107.028700,,,,
14-Jun-21,Tromino,513GB01,6.81,0.42,11.01,12.37,14.68,12.85,13.69,12.10,1.59,no,1to64,analyis constrained to >1 Hz due to low frequency noise,,2,128,14,20.0,38.909000,-107.028500,,,,
14-Jun-21,Tromino,486GB2,4.75,0.65,15.79,17.74,21.05,18.42,21.34,16.20,5.14,no,1to64,noisy,,3,128,14,20.0,38.909610,-107.028600,,,,
14-Jun-21,Tromino,513GB02,6.25,0.28,12.00,13.48,16.00,14.00,14.66,13.40,1.26,no,1to64,noisy,,1,128,14,20.0,38.909280,-107.028700,,,,
14-Jun-21,Tromino,486GB3,4.72,0.03,15.89,17.85,21.19,18.54,18.66,18.42,0.24,no,1to64,"SEASME all green, but noisy, small secondary peak",,3,128,14,20.0,38.909240,-107.028600,,,,
14-Jun-21,Tromino,513GB03,4.69,0.14,15.99,17.96,21.32,18.66,19.23,18.12,1.11,no,1to64,,,1,128,14,20.0,38.909790,-107.028600,,,,
14-Jun-21,Tromino,494GB04,5.00,0.05,15.00,16.85,20.00,17.50,17.68,17.33,0.35,no,1to64,poor coupling,,2,128,14,20.0,38.909440,-107.028500,,,,
14-Jun-21,Tromino,513GB04,5.72,0.11,13.11,14.73,17.48,15.30,15.60,15.01,0.59,no,1to64,,,1,128,14,20.0,38.909520,-107.028700,,,,
14-Jun-21,Tromino,485GB1,7.03,0.07,10.67,11.98,14.22,12.45,12.57,12.32,0.25,no,1to64,low peak,,2,128,14,20.0,38.909040,-107.028600,,,,
14-Jun-21,Tromino,494GB05,4.84,0.04,15.50,17.41,20.66,18.08,18.23,17.93,0.30,no,1to64,noisy,,1,128,14,20.0,38.909370,-107.028700,,,,
14-Jun-21,Tromino,513GB05,7.44,0.04,10.08,11.32,13.44,11.76,11.82,11.70,0.13,no,1to64,,,2,128,14,20.0,38.909410,-107.028600,,,,
14-Jun-21,Tromino,494GB06,7.13,1.49,10.52,11.82,14.03,12.27,15.51,10.15,5.36,no,1to64,"high frequency double peak, constrained <12 Hz",,3,128,14,20.0,38.909180,-107.028800,,,,
14-Jun-21,Tromino,486GB4,4.84,0.61,15.50,17.41,20.66,18.08,20.69,16.06,4.63,no,1to64,noisy,,2,128,14,20.0,38.909400,-107.028500,,,,
14-Jun-21,Tromino,513GB06,7.28,1.59,10.30,11.57,13.74,12.02,15.38,9.86,5.51,no,1to64,very low peak,,3,128,14,20.0,38.909450,-107.028900,,,,
14-Jun-21,Tromino,485GB3,4.84,0.03,15.50,17.41,20.66,18.08,18.19,17.97,0.22,no,1to64,"double peak, closely spaced",,2,128,14,20.0,38.909620,-107.028500,,,,
14-Jun-21,Tromino,494GB07,8.00,0.12,9.38,10.53,12.50,10.94,11.10,10.78,0.33,no,1to16,"high frequency double peak, constrained <16 Hz",,1,128,14,20.0,38.909070,-107.028600,,,,
14-Jun-21,Tromino,494GB03,4.81,0.01,15.59,17.52,20.79,18.19,18.23,18.15,0.08,no,1to64,textbook…,,1,128,14,20.0,38.909460,-107.028600,,,,
14-Jun-21,Tromino,486GB5,5.25,0.02,14.29,16.05,19.05,16.67,16.73,16.60,0.13,no,1to64,,,1,128,14,20.0,38.909450,-107.028700,,,,
14-Jun-21,Tromino,513GB07,7.13,0.05,10.52,11.82,14.03,12.27,12.36,12.19,0.17,no,1to64,,,1,128,14,20.0,38.909330,-107.028900,,,,
14-Jun-21,Tromino,494GB08,9.94,7.02,7.55,8.48,10.06,8.80,29.97,5.16,24.81,no,1to16,"high frequency double peak, constrained <16 Hz",,3,128,14,20.0,38.908880,-107.028900,,,,
14-Jun-21,Tromino,485GB2,6.81,0.19,11.01,12.37,14.68,12.85,13.22,12.50,0.72,no,1to64,,,1,128,14,20.0,38.909500,-107.028300,,,,
14-Jun-21,Tromino,486GB6,5.22,0.08,14.37,16.14,19.16,16.76,17.02,16.51,0.51,no,1to64,,,1,128,14,20.0,38.909420,-107.028700,,,,
14-Jun-21,Tromino,513GB08,9.00,1.01,8.33,9.36,11.11,9.72,10.95,8.74,2.21,no,1to64,double peak,,3,128,14,20.0,38.909260,-107.029000,,,,
14-Jun-21,Tromino,494GB10,31.97,19.20,2.35,2.64,3.13,2.74,6.85,1.71,5.14,no,3to64,"contrained to > 3Hz, low, broad peak",,3,128,14,20.0,38.908630,-107.028900,,,,
14-Jun-21,Tromino,486GB07,6.88,3.66,10.90,12.25,14.53,12.72,27.17,8.30,18.87,no,1to64,"noisy, low peak",,3,128,14,20.0,38.909320,-107.028500,,,,
14-Jun-21,Tromino,S485P4L4H,6.75,0.19,11.11,12.48,14.81,12.96,13.34,12.61,0.73,no,1to64,,,1,128,14,20.0,38.909330,-107.028200,,,,
14-Jun-21,Tromino,513GB11,9.88,0.19,7.59,8.53,10.12,8.86,9.03,8.69,0.34,no,1to64,,,1,128,14,20.0,38.908950,-107.028500,,,,
14-Jun-21,Tromino,494GB11,12.72,0.11,5.90,6.62,7.86,6.88,6.94,6.82,0.12,no,1to64,broad peak,,2,128,14,20.0,38.909310,-107.028500,,,,
14-Jun-21,Tromino,486GB08,9.19,0.21,8.16,9.17,10.88,9.52,9.74,9.31,0.44,no,1to64,strong double peak,,3,128,14,20.0,38.909340,-107.028600,,,,
14-Jun-21,Tromino,513GB12,45.88,0.20,1.63,1.84,2.18,1.91,1.92,1.90,0.02,no,1to64,very strong high frequency peak- sediment transition? Another lower peak ~ 9Hz,,2,128,14,20.0,38.908740,-107.028300,,,,
14-Jun-21,Tromino,485GB5,5.56,0.04,13.49,15.15,17.99,15.74,15.85,15.63,0.23,no,1to64,double peak,,2,128,14,20.0,38.909330,-107.028600,,,,
14-Jun-21,Tromino,494GB12,4.66,0.03,16.09,18.08,21.46,18.78,18.90,18.66,0.24,no,1to64,,,1,128,14,20.0,38.909580,-107.028500,,,,
14-Jun-21,Tromino,513GB13,9.22,14.53,8.13,9.14,10.85,9.49,-16.48,3.68,20.16,no,1to64,double peak,,3,128,14,20.0,38.908810,-107.028100,,,,
14-Jun-21,Tromino,485GB6,11.72,0.13,6.40,7.19,8.53,7.47,7.55,7.38,0.17,no,1to64,,,1,128,14,20.0,38.908920,-107.029100,,,,
14-Jun-21,Tromino,494GB14,6.16,1.52,12.18,13.68,16.23,14.20,18.86,11.39,7.46,no,1to64,,,2,128,14,20.0,38.909620,-107.028000,,,,
14-Jun-21,Tromino,513GB14,8.94,0.12,8.39,9.42,11.19,9.79,9.92,9.66,0.26,no,1to14,"high frequency double peak, constrained <14 Hz",,2,128,14,20.0,38.908770,-107.028300,,,,
14-Jun-21,Tromino,485GB08,40.78,3.13,1.84,2.07,2.45,2.15,2.32,1.99,0.33,no,1to64,"broad peak, but single peak",,2,128,14,20.0,38.908710,-107.028900,,,,
14-Jun-21,Tromino,485GB09,13.91,6.90,5.39,6.06,7.19,6.29,12.48,4.20,8.28,no,1to64,,,2,128,14,20.0,38.908270,-107.028500,,,,
14-Jun-21,Tromino,485GB10,15.50,15.59,4.84,5.44,6.45,5.65,-972.22,2.81,975.04,no,1to64,poor coupling,,3,128,14,20.0,38.908760,-107.028500,,,,
