LINE_NO,UTMX,UTMY,FID,RECORD,DELTAALT,NUMDATA,RESDATA,RESTOTAL,RHO_I_1,RHO_I_2,RHO_I_3,RHO_I_4,RHO_I_5,RHO_I_6,RHO_I_7,RHO_I_8,RHO_I_9,RHO_I_10,RHO_I_11,RHO_I_12,RHO_I_13,RHO_I_14,RHO_I_15,RHO_I_16,RHO_I_17,RHO_I_18,RHO_I_STD1,RHO_I_STD2,RHO_I_STD3,RHO_I_STD4,RHO_I_STD5,RHO_I_STD6,RHO_I_STD7,RHO_I_STD8,RHO_I_STD9,RHO_I_STD10,RHO_I_STD11,RHO_I_STD12,RHO_I_STD13,RHO_I_STD14,RHO_I_STD15,RHO_I_STD16,RHO_I_STD17,RHO_I_STD18,SIGMA_I_1,SIGMA_I_2,SIGMA_I_3,SIGMA_I_4,SIGMA_I_5,SIGMA_I_6,SIGMA_I_7,SIGMA_I_8,SIGMA_I_9,SIGMA_I_10,SIGMA_I_11,SIGMA_I_12,SIGMA_I_13,SIGMA_I_14,SIGMA_I_15,SIGMA_I_16,SIGMA_I_17,SIGMA_I_18,DEP_TOP_1,DEP_TOP_2,DEP_TOP_3,DEP_TOP_4,DEP_TOP_5,DEP_TOP_6,DEP_TOP_7,DEP_TOP_8,DEP_TOP_9,DEP_TOP_10,DEP_TOP_11,DEP_TOP_12,DEP_TOP_13,DEP_TOP_14,DEP_TOP_15,DEP_TOP_16,DEP_TOP_17,DEP_TOP_18,DEP_BOT_1,DEP_BOT_2,DEP_BOT_3,DEP_BOT_4,DEP_BOT_5,DEP_BOT_6,DEP_BOT_7,DEP_BOT_8,DEP_BOT_9,DEP_BOT_10,DEP_BOT_11,DEP_BOT_12,DEP_BOT_13,DEP_BOT_14,DEP_BOT_15,DEP_BOT_16,DEP_BOT_17,DEP_BOT_18,THK_1,THK_2,THK_3,THK_4,THK_5,THK_6,THK_7,THK_8,THK_9,THK_10,THK_11,THK_12,THK_13,THK_14,THK_15,THK_16,THK_17,THK_STD_1,THK_STD_2,THK_STD_3,THK_STD_4,THK_STD_5,THK_STD_6,THK_STD_7,THK_STD_8,THK_STD_9,THK_STD_10,THK_STD_11,THK_STD_12,THK_STD_13,THK_STD_14,THK_STD_15,THK_STD_16,THK_STD_17,DEP_BOT_STD_1,DEP_BOT_STD_2,DEP_BOT_STD_3,DEP_BOT_STD_4,DEP_BOT_STD_5,DEP_BOT_STD_6,DEP_BOT_STD_7,DEP_BOT_STD_8,DEP_BOT_STD_9,DEP_BOT_STD_10,DEP_BOT_STD_11,DEP_BOT_STD_12,DEP_BOT_STD_13,DEP_BOT_STD_14,DEP_BOT_STD_15,DEP_BOT_STD_16,DEP_BOT_STD_17,DOI_CONSERVATIVE,DOI_STANDARD
1,324071.36,4308650.8,355,78,0,14,3.93,1.2,23.1,25.7,30.5,37.2,45.2,54.2,63.7,73.2,82.5,91.3,99.6,107,115,122,130,142,162,200,1.18,0.82,0.726,0.848,1.1,1.43,1.81,2.23,2.69,3.18,3.7,4.26,4.87,5.52,6.22,6.99,7.81,8.71,43.4,38.9,32.8,26.9,22.1,18.4,15.7,13.7,12.1,11,10,9.31,8.71,8.19,7.67,7.04,6.18,5,0,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,18,0.2,0.228,0.261,0.298,0.34,0.388,0.443,0.505,0.577,0.658,0.752,0.858,0.98,1.12,1.28,1.46,1.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0007,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,1.16,2.18
1,324072.33,4308650.94,366,79,0,14,4.01,1.2,22.9,25.5,30.3,37.1,45.2,54.3,63.8,73.4,82.8,91.8,100,108,115,123,131,143,162,197,1.18,0.816,0.724,0.849,1.11,1.44,1.82,2.25,2.71,3.2,3.73,4.3,4.91,5.57,6.28,7.05,7.88,8.78,43.7,39.2,33,27,22.1,18.4,15.7,13.6,12.1,10.9,9.98,9.26,8.67,8.14,7.63,7.02,6.19,5.08,0,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,18,0.2,0.228,0.261,0.298,0.34,0.388,0.443,0.505,0.577,0.658,0.752,0.858,0.98,1.12,1.28,1.46,1.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0007,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,1.13,2.12
1,324073.27,4308650.6,379,80,0,14,3.51,1.2,22,24.7,29.6,36.4,44.6,53.8,63.5,73.3,82.8,91.9,100,108,116,123,132,143,161,193,1.17,0.807,0.721,0.852,1.12,1.46,1.85,2.29,2.76,3.28,3.83,4.42,5.05,5.74,6.48,7.28,8.14,9.07,45.4,40.5,33.8,27.5,22.4,18.6,15.7,13.6,12.1,10.9,9.96,9.23,8.64,8.11,7.6,7,6.21,5.17,0,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,18,0.2,0.228,0.261,0.298,0.34,0.388,0.443,0.505,0.577,0.658,0.752,0.858,0.98,1.12,1.28,1.46,1.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0007,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,1.13,2.1
1,324074.22,4308650.28,393,81,0,14,3.38,1.2,22,24.6,29.5,36.4,44.7,54,63.8,73.6,83.2,92.4,101,109,117,124,132,143,161,192,1.17,0.807,0.72,0.853,1.12,1.46,1.86,2.31,2.79,3.31,3.87,4.47,5.12,5.82,6.58,7.39,8.27,9.21,45.5,40.7,33.9,27.5,22.4,18.5,15.7,13.6,12,10.8,9.9,9.17,8.58,8.06,7.56,6.97,6.21,5.22,0,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,18,0.2,0.228,0.261,0.298,0.34,0.388,0.443,0.505,0.577,0.658,0.752,0.858,0.98,1.12,1.28,1.46,1.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0007,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,1.1,2.05
1,324075.12,4308650.14,403,82,0,14,3.34,1.2,21.8,24.5,29.4,36.3,44.7,54.2,64.1,74.1,83.8,93.1,102,110,118,125,134,145,162,192,1.16,0.803,0.719,0.854,1.12,1.47,1.87,2.32,2.8,3.33,3.89,4.5,5.15,5.85,6.6,7.42,8.3,9.24,45.9,40.9,34,27.5,22.4,18.5,15.6,13.5,11.9,10.7,9.82,9.1,8.51,7.99,7.49,6.92,6.18,5.22,0,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,18,0.2,0.228,0.261,0.298,0.34,0.388,0.443,0.505,0.577,0.658,0.752,0.858,0.98,1.12,1.28,1.46,1.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0007,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,1.16,2.17
1,324075.64,4308650.99,409,83,0,14,3.4,1.2,21.9,24.6,29.6,36.6,45.1,54.7,64.7,74.9,84.7,94.1,103,111,119,127,135,146,164,194,1.16,0.802,0.718,0.855,1.12,1.47,1.87,2.32,2.8,3.33,3.89,4.5,5.15,5.85,6.6,7.42,8.29,9.24,45.6,40.7,33.8,27.3,22.2,18.3,15.5,13.4,11.8,10.6,9.71,8.99,8.4,7.9,7.4,6.84,6.12,5.17,0,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,18,0.2,0.228,0.261,0.298,0.34,0.388,0.443,0.505,0.577,0.658,0.752,0.858,0.98,1.12,1.28,1.46,1.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0007,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,1.16,2.16
1,324076.02,4308651.91,423,84,0,14,3.83,1.2,22.9,25.6,30.6,37.6,46.2,55.8,66,76.2,86.2,95.7,105,113,121,129,137,148,166,197,1.17,0.81,0.721,0.851,1.12,1.46,1.85,2.29,2.77,3.28,3.83,4.42,5.06,5.74,6.48,7.27,8.13,9.06,43.6,39,32.7,26.6,21.6,17.9,15.2,13.1,11.6,10.4,9.55,8.85,8.27,7.78,7.29,6.74,6.03,5.07,0,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,18,0.2,0.228,0.261,0.298,0.34,0.388,0.443,0.505,0.577,0.658,0.752,0.858,0.98,1.12,1.28,1.46,1.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0007,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,1.17,2.2
1,324076.52,4308652.76,441,85,0,14,4.08,1.2,23.3,26,31.1,38.2,46.8,56.6,66.9,77.3,87.4,97.1,106,115,123,131,139,151,168,201,1.17,0.812,0.722,0.851,1.11,1.46,1.85,2.29,2.76,3.28,3.83,4.42,5.06,5.74,6.48,7.28,8.14,9.07,42.9,38.4,32.2,26.2,21.4,17.7,15,12.9,11.4,10.3,9.43,8.73,8.16,7.66,7.18,6.64,5.94,4.98,0,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,18,0.2,0.228,0.261,0.298,0.34,0.388,0.443,0.505,0.577,0.658,0.752,0.858,0.98,1.12,1.28,1.46,1.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0007,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,1.14,2.13
1,324077.32,4308653.2,453,86,0,14,4.03,1.2,23.1,25.9,31,38.2,47,56.9,67.4,77.9,88.2,98,107,116,124,132,141,153,171,203,1.17,0.808,0.721,0.853,1.12,1.46,1.86,2.3,2.79,3.31,3.86,4.46,5.11,5.8,6.55,7.36,8.23,9.17,43.3,38.7,32.3,26.2,21.3,17.6,14.8,12.8,11.3,10.2,9.33,8.63,8.06,7.58,7.1,6.56,5.86,4.92,0,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,18,0.2,0.228,0.261,0.298,0.34,0.388,0.443,0.505,0.577,0.658,0.752,0.858,0.98,1.12,1.28,1.46,1.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0007,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,1.12,2.08
1,324078.18,4308653.67,467,87,0,14,3.94,1.2,22.7,25.5,30.7,38,47,57,67.6,78.3,88.8,98.7,108,117,125,133,142,154,173,206,1.16,0.802,0.718,0.855,1.13,1.48,1.88,2.33,2.82,3.35,3.92,4.53,5.19,5.9,6.66,7.49,8.37,9.33,44,39.2,32.6,26.3,21.3,17.5,14.8,12.8,11.3,10.1,9.25,8.56,7.99,7.5,7.03,6.49,5.79,4.86,0,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,0.2,0.428,0.689,0.986,1.33,1.71,2.16,2.66,3.24,3.9,4.65,5.51,6.49,7.6,8.88,10.3,12,18,0.2,0.228,0.261,0.298,0.34,0.388,0.443,0.505,0.577,0.658,0.752,0.858,0.98,1.12,1.28,1.46,1.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0007,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,1.09,2.02
