DateTime.MST,ScansPerRec,EnclosureTemp.deg.C,AirTemperature.deg.C,RelHumidity.percent,BarometricPress.kPa,Precip.mm,Windspeed.m.s,SoilHeatFlux.W.m2,ShortwaveIn.W.m2,ShortwaveOut.W.m2,LongwaveIn.W.m2,LongwaveOut.W.m2,NetRadiation.W.m2,DataFlag_01
2021-05-18 04:30:00,15.0,0.68,-0.713,100.0,73.304,0.0,1.006,-41.204,-99999,0.14,-99999,326.37,-99999,P
2021-05-18 05:00:00,15.0,0.7,0.142,99.73,73.2811,0.0,1.244,-40.43,-99999,-0.17,-99999,327.81,-99999,P
2021-05-18 05:30:00,15.0,1.13,0.507,98.49,73.2752,0.0,1.341,-39.708,-99999,0.19,-99999,328.98,-99999,P
2021-05-18 06:00:00,15.0,1.54,0.505,98.54,73.272,0.0,0.973,-37.226,-99999,0.98,-99999,330.45,-99999,P
2021-05-18 06:30:00,15.0,1.8,0.801,98.78,73.2733,0.0,0.656,-31.88,-99999,0.5,-99999,333.81,-99999,P
2021-05-18 07:00:00,15.0,1.84,1.38,99.92,73.2661,0.0,0.501,-23.091,-99999,0.95,-99999,343.54,-99999,P
2021-05-18 07:30:00,15.0,2.7,3.797,95.68,73.2566,0.0,0.674,-6.432,-99999,1.17,-99999,360.69,-99999,P
2021-05-18 08:00:00,15.0,6.56,7.15,72.59,73.2486,0.0,1.4,17.427,-99999,0.91,-99999,372.47,-99999,P
2021-05-18 08:30:00,15.0,10.9,8.35,59.9,73.2107,0.0,2.146,38.531,-99999,0.33,-99999,379.42,-99999,P
2021-05-18 09:00:00,15.0,13.82,9.56,50.94,73.1897,0.0,2.127,58.082,-99999,0.78,-99999,387.02,-99999,P
2021-05-18 09:30:00,15.0,15.34,10.89,45.62,73.1842,0.0,2.271,77.996,-99999,0.82,-99999,409.87,-99999,P
2021-05-18 10:00:00,15.0,17.48,11.05,44.33,73.1925,0.0,2.4,108.462,-99999,1.48,-99999,408.81,-99999,P
2021-05-18 10:30:00,15.0,18.83,10.55,44.9,73.2058,0.0,2.145,103.879,-99999,1.85,-99999,393.41,-99999,P
2021-05-18 11:00:00,15.0,18.24,10.91,44.5,73.2201,0.0,1.98,88.187,-99999,1.8,-99999,398.98,-99999,P
2021-05-18 11:30:00,15.0,18.44,11.42,43.93,73.2309,0.0,2.188,89.239,-99999,1.72,-99999,406.29,-99999,P
