DateTime.MST,ScansPerRec,EnclosureTemp.deg.C,AirTemperature.deg.C,RelHumidity.percent,BarometricPress.kPa,Precip.mm,Windspeed.m.s,SoilHeatFlux.W.m2,ShortwaveIn.W.m2,ShortwaveOut.W.m2,LongwaveIn.W.m2,LongwaveOut.W.m2,NetRadiation.W.m2,DataFlag_01,date
2020-07-29 19:30:00,15.0,26.78,15.94,53.0,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,P,2020-07-29
2020-07-29 20:00:00,15.0,-99999.0,13.36,61.29,-99999.0,0.0,0.571,-99999.0,-99999.0,-5.66,-99999.0,-99999.0,-99999.0,P,2020-07-29
2020-07-29 20:30:00,15.0,18.61,11.14,72.17,74.289,0.0,0.544,-99999.0,35.08,-2.31,335.75,385.64,-12.51,P,2020-07-29
2020-07-29 21:00:00,15.0,15.79,9.19,81.35,74.3124,0.0,0.562,-99999.0,29.47,-3.68,293.03,375.12,-48.93,P,2020-07-29
2020-07-29 21:30:00,15.0,13.83,7.921,84.72,74.3277,0.0,0.655,-99999.0,22.9,-3.44,289.13,371.15,-55.69,P,2020-07-29
2020-07-29 22:00:00,15.0,12.1,6.883,91.97,74.3658,0.0,0.467,-99999.0,18.91,-3.26,285.52,367.83,-60.14,P,2020-07-29
2020-07-29 22:30:00,15.0,10.77,5.908,94.8,74.3926,0.0,0.473,-99999.0,15.6,-3.29,282.69,364.05,-62.47,P,2020-07-29
2020-07-29 23:00:00,15.0,9.63,5.087,96.25,74.3925,0.0,0.451,-99999.0,13.44,-3.18,280.95,361.07,-63.51,P,2020-07-29
2020-07-29 23:30:00,15.0,8.65,4.572,97.71,74.3976,0.0,0.451,-99999.0,11.95,-3.06,280.13,358.73,-63.58,P,2020-07-29
2020-07-30 00:00:00,15.0,7.83,4.185,98.81,74.4028,0.0,0.466,-99999.0,10.65,-3.16,278.76,357.13,-64.56,P,2020-07-30
2020-07-30 00:30:00,15.0,7.22,3.85,98.88,74.3976,0.0,0.456,-99999.0,9.34,-2.93,276.95,355.03,-65.81,P,2020-07-30
2020-07-30 01:00:00,15.0,6.71,3.455,99.47,74.4008,0.0,0.465,-99999.0,8.61,-3.09,275.36,353.43,-66.37,P,2020-07-30
2020-07-30 01:30:00,15.0,6.26,3.028,99.79,74.3992,0.0,0.452,-99999.0,7.46,-2.99,273.44,351.52,-67.63,P,2020-07-30
2020-07-30 02:00:00,15.0,5.82,2.653,99.92,74.4048,0.0,0.457,-99999.0,6.77,-2.92,271.43,350.09,-68.98,P,2020-07-30
2020-07-30 02:30:00,15.0,5.41,2.423,100.0,74.4032,0.0,0.458,-99999.0,5.96,-3.0,270.21,348.34,-69.17,P,2020-07-30
2020-07-30 03:00:00,15.0,5.04,2.036,100.0,74.4054,0.0,0.463,-99999.0,5.3,-2.83,268.9,346.91,-69.88,P,2020-07-30
2020-07-30 03:30:00,15.0,4.69,1.911,100.0,74.4081,0.0,0.459,-99999.0,4.79,-2.83,268.26,345.76,-69.89,P,2020-07-30
2020-07-30 04:00:00,15.0,4.47,1.629,100.0,74.405,0.0,0.462,-99999.0,4.26,-2.9,266.52,344.55,-70.88,P,2020-07-30
2020-07-30 04:30:00,15.0,4.03,1.532,100.0,74.4075,0.0,0.476,-99999.0,3.92,-2.82,265.28,343.71,-71.68,P,2020-07-30
2020-07-30 05:00:00,15.0,3.87,1.296,100.0,74.4214,0.0,0.465,-99999.0,3.55,-2.88,264.63,342.56,-71.51,P,2020-07-30
2020-07-30 05:30:00,15.0,3.6,1.133,100.0,74.423,0.0,0.459,-99999.0,3.37,-2.79,263.54,341.81,-72.11,P,2020-07-30
2020-07-30 06:00:00,15.0,3.36,1.105,100.0,74.4426,0.0,0.483,-99999.0,3.16,-2.84,261.5,341.09,-73.59,P,2020-07-30
2020-07-30 06:30:00,15.0,3.19,0.94,100.0,74.4624,0.0,0.467,-99999.0,7.28,-2.57,260.22,340.19,-70.12,P,2020-07-30
2020-07-30 07:00:00,15.0,3.05,0.776,100.0,74.4764,0.0,0.483,-99999.0,14.4,-2.34,259.77,340.46,-63.94,P,2020-07-30
2020-07-30 07:30:00,15.0,2.81,1.532,100.0,74.484,0.0,0.496,-99999.0,24.45,1.32,263.09,344.03,-57.81,P,2020-07-30
2020-07-30 08:00:00,15.0,2.19,4.591,100.0,74.4832,0.0,0.572,-99999.0,43.83,10.97,277.4,359.26,-49.0,P,2020-07-30
2020-07-30 08:30:00,15.0,4.15,7.603,92.73,74.4694,0.0,0.638,-99999.0,54.45,16.51,286.11,375.4,-51.36,P,2020-07-30
2020-07-30 09:00:00,15.0,7.87,11.2,70.39,74.4669,0.0,0.764,-99999.0,65.73,21.58,296.08,388.27,-48.05,P,2020-07-30
2020-07-30 09:30:00,15.0,11.51,14.57,54.35,74.4599,0.0,0.793,-99999.0,80.27,25.52,308.5,402.23,-38.99,P,2020-07-30
2020-07-30 10:00:00,15.0,15.48,17.93,41.48,74.4399,0.0,1.211,-99999.0,99.43,28.88,330.47,415.02,-14.0,P,2020-07-30
2020-07-30 10:30:00,15.0,19.41,19.55,32.57,74.4332,0.0,2.076,-99999.0,107.75,33.57,332.23,422.05,-15.63,P,2020-07-30
2020-07-30 11:00:00,15.0,22.28,19.78,32.3,74.4501,0.0,2.097,-99999.0,979.23,36.7,316.98,429.85,829.66,P,2020-07-30
2020-07-30 11:30:00,15.0,24.75,20.21,32.88,74.452,0.0,2.425,-99999.0,1105.19,40.11,313.54,437.24,941.38,P,2020-07-30
2020-07-30 12:00:00,15.0,26.8,20.79,28.1,74.4465,0.0,2.547,-99999.0,1162.09,41.64,331.41,443.41,1008.45,P,2020-07-30
2020-07-30 12:30:00,15.0,27.31,21.13,27.84,74.4461,0.0,2.671,-99999.0,1187.99,43.37,337.88,448.43,1034.07,P,2020-07-30
2020-07-30 13:00:00,15.0,27.14,21.94,28.72,74.4416,0.0,2.003,-99999.0,1218.6,43.29,350.31,455.67,1069.95,P,2020-07-30
2020-07-30 13:30:00,15.0,27.43,22.15,26.34,74.4309,0.0,2.646,-99999.0,1207.02,41.83,346.32,455.27,1056.25,P,2020-07-30
2020-07-30 14:00:00,15.0,27.62,22.12,26.3,74.4354,0.0,2.571,-99999.0,1191.33,41.1,349.96,459.14,1041.05,P,2020-07-30
2020-07-30 14:30:00,15.0,25.81,22.67,27.54,74.4438,0.0,2.288,-99999.0,1136.39,40.9,375.86,455.49,1015.86,P,2020-07-30
2020-07-30 15:00:00,15.0,27.26,22.94,29.17,74.4362,0.0,2.281,-99999.0,924.3,159.57,368.38,474.51,658.6,P,2020-07-30
2020-07-30 15:30:00,15.0,34.18,23.26,24.52,-99999.0,0.0,1.387,-99999.0,893.69,27.01,335.76,450.66,751.78,P,2020-07-30
2020-07-30 16:00:00,15.0,28.51,23.34,26.18,-99999.0,0.0,2.423,-99999.0,1026.32,41.47,338.3,458.09,865.07,P,2020-07-30
2020-07-30 16:30:00,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,P,2020-07-30
2020-07-30 17:00:00,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,P,2020-07-30
2020-07-30 17:30:00,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,P,2020-07-30
2020-07-30 18:00:00,15.0,27.25,21.55,21.91,-99999.0,0.0,1.361,-99999.0,161.67,-4.2,300.48,415.36,50.99,P,2020-07-30
2020-07-30 18:30:00,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,P,2020-07-30
2020-07-30 19:00:00,15.0,22.5,15.4,44.34,74.4674,0.0,0.543,-10.717,46.38,-3.64,288.42,390.81,-52.36,P,2020-07-30
2020-07-30 19:30:00,15.0,19.91,12.21,66.57,74.4962,0.0,0.464,-15.126,25.53,-3.81,281.53,380.29,-69.42,P,2020-07-30
2020-07-30 20:00:00,15.0,17.44,9.43,76.16,74.5249,0.0,0.462,-19.791,14.19,-3.31,276.25,372.56,-78.81,P,2020-07-30
2020-07-30 20:30:00,15.0,14.88,8.17,79.32,74.5661,0.0,0.513,-24.007,10.99,-3.29,272.66,368.02,-81.09,P,2020-07-30
2020-07-30 21:00:00,15.0,12.7,7.516,77.3,74.5962,0.0,0.739,-27.353,9.79,-2.83,271.69,366.05,-81.73,P,2020-07-30
2020-07-30 21:30:00,15.0,11.01,8.02,74.55,74.604,0.0,0.636,-29.553,8.32,-3.76,270.17,364.49,-82.24,P,2020-07-30
2020-07-30 22:00:00,15.0,10.18,7.383,75.33,74.598,0.0,0.699,-31.169,7.48,-3.22,269.47,363.45,-83.29,P,2020-07-30
2020-07-30 22:30:00,15.0,9.55,6.657,77.73,74.5869,0.0,0.692,-32.524,6.04,-3.16,268.36,360.71,-83.15,P,2020-07-30
2020-07-30 23:00:00,15.0,8.99,6.021,81.03,74.5761,0.0,0.64,-33.725,4.06,-3.31,265.64,357.9,-84.9,P,2020-07-30
2020-07-30 23:30:00,15.0,8.47,4.959,85.06,74.5797,0.0,0.563,-35.078,1.94,-3.04,263.48,354.53,-86.06,P,2020-07-30
2020-07-31 00:00:00,15.0,7.82,4.171,92.03,74.593,0.0,0.464,-36.548,1.02,-2.91,260.56,352.14,-87.65,P,2020-07-31
2020-07-31 00:30:00,15.0,7.15,3.515,93.63,74.5855,0.0,0.474,-38.046,0.06,-2.88,257.91,349.34,-88.49,P,2020-07-31
2020-07-31 01:00:00,15.0,6.42,2.954,94.85,74.5777,0.0,0.479,-39.384,-0.69,-2.84,256.5,346.9,-88.24,P,2020-07-31
2020-07-31 01:30:00,15.0,5.75,2.477,95.15,74.5616,0.0,0.49,-40.575,-1.33,-2.82,255.21,344.88,-88.19,P,2020-07-31
