,DateTime.MST,HourlyETo.mm.hr,DailyETo.mm.day
0,2020-07-31,-0.033,4.3
24,2020-08-01,-0.034,3.77
48,2020-08-02,-0.018,4.44
72,2020-08-03,-0.035,4.69
96,2020-08-04,-0.037,5.04
120,2020-08-05,-0.015,3.98
144,2020-08-06,-0.032,4.35
168,2020-08-07,-0.031,4.82
192,2020-08-08,-0.03,4.78
216,2020-08-09,-0.034,4.79
240,2020-08-10,-0.033,4.39
264,2020-08-11,-0.032,4.89
288,2020-08-12,-0.027,4.1
312,2020-08-13,-0.029,4.51
336,2020-08-14,-0.032,4.57
360,2020-08-15,-0.033,4.69
384,2020-08-16,-0.023,4.31
408,2020-08-17,-0.021,4.52
432,2020-08-18,-0.031,3.96
456,2020-08-19,-0.028,4.51
480,2020-08-20,-0.03,3.78
504,2020-08-21,-0.01,4.63
528,2020-08-22,-0.031,3.29
552,2020-08-23,-0.029,2.94
576,2020-08-24,-0.026,3.16
600,2020-08-25,-0.034,2.69
624,2020-08-26,-0.039,2.52
648,2020-08-27,-0.044,4.24
672,2020-08-28,-0.036,1.97
696,2020-08-29,-0.043,1.74
720,2020-08-30,-0.045,2.0
744,2020-08-31,0.001,2.83
768,2020-09-01,0.012,3.61
792,2020-09-02,-0.043,3.89
816,2020-09-03,-0.039,4.27
840,2020-09-04,-0.037,3.89
864,2020-09-05,-0.032,3.76
888,2020-09-06,-0.038,3.75
912,2020-09-07,-0.033,2.23
936,2020-09-08,-0.028,0.96
960,2020-09-09,0.026,1.89
984,2020-09-10,0.007,2.08
1008,2020-09-11,0.013,2.01
1032,2020-09-12,-0.046,2.9
1056,2020-09-13,-0.046,1.69
1080,2020-09-14,-0.042,3.11
1104,2020-09-15,-0.049,2.55
1128,2020-09-16,-0.041,2.13
1152,2020-09-17,-0.042,2.18
1176,2020-09-18,-0.04,2.06
1200,2020-09-19,-0.03,1.57
1224,2020-09-20,-0.029,1.37
1248,2020-09-21,-0.034,2.48
1272,2020-09-22,-0.039,1.39
1296,2020-09-23,-0.023,2.48
1320,2020-09-24,-0.031,2.2
1344,2020-09-25,-0.035,2.62
1368,2020-09-26,-0.035,2.58
1392,2020-09-27,-0.033,3.32
1416,2020-09-28,-0.001,2.41
1440,2020-09-29,-0.04,2.64
1464,2020-09-30,-0.044,2.7
1488,2020-10-01,-0.042,2.55
1512,2020-10-02,-0.043,2.39
1536,2020-10-03,-0.043,2.31
1560,2020-10-04,-0.039,2.27
1584,2020-10-05,-0.035,2.53
1608,2020-10-06,-0.042,2.47
1632,2020-10-07,-0.04,2.36
1656,2020-10-08,-0.04,2.28
1680,2020-10-09,-0.031,1.3
10,2022-03-31,-0.02,0.72
34,2022-04-01,0.004,0.93
58,2022-04-02,-0.05,0.72
82,2022-04-03,-0.034,0.71
106,2022-04-04,-0.027,1.54
130,2022-04-05,0.104,1.69
154,2022-04-06,0.02,1.55
178,2022-04-07,-0.023,1.4
202,2022-04-08,-0.013,1.19
226,2022-04-09,-0.05,2.06
250,2022-04-10,-0.006,2.01
274,2022-04-11,-0.014,1.97
298,2022-04-12,0.1,0.38
322,2022-04-13,-0.006,0.46
346,2022-04-14,-0.009,0.87
370,2022-04-15,0.013,0.99
394,2022-04-16,-0.042,1.54
418,2022-04-17,-0.005,1.56
442,2022-04-18,-0.045,2.0
466,2022-04-19,-0.046,3.09
490,2022-04-20,0.21,3.04
514,2022-04-21,-0.044,2.68
538,2022-04-22,-0.025,2.8
562,2022-04-23,0.008,0.57
586,2022-04-24,-0.031,1.18
610,2022-04-25,-0.012,1.56
634,2022-04-26,-0.048,2.37
658,2022-04-27,-0.017,1.49
682,2022-04-28,-0.046,2.57
706,2022-04-29,0.01,2.99
730,2022-04-30,-0.048,2.83
754,2022-05-01,-0.017,2.65
