DateTime.MST,SR-SC-1.1_WaterTemp.deg.C,SR-SC-1.1_DTW.m,SR-SC-1.1_WaterLevelElev.masl,SR-SC-2.1_WaterTemp.deg.C,SR-SC-2.1_DTW.m,SR-SC-2.1_WaterLevelElev.masl,SR-SC-2.2_WaterTemp.deg.C,SR-SC-2.2_DTW.m,SR-SC-2.2_WaterLevelElev.masl,SR-BD-WT_WaterTemp.deg.C,SR-BD-WT_DTW.m,SR-BD-WT_WaterLevelElev.masl,DataFlag_01,DataFlag_02
2020-08-13 23:00:00,8.978,-99999,-99999,8.182,-99999,-99999,12.883,-99999,-99999,-99999,-99999,-99999,P,CS100
2020-08-14 00:00:00,8.978,0.173,2724.507,8.182,0.285,2724.87,12.883,0.183,2725.042,-99999,-99999,-99999,P,CS100
2020-08-14 01:00:00,8.978,0.175,2724.505,8.282,0.283,2724.872,12.883,0.183,2725.042,-99999,-99999,-99999,P,CS100
2020-08-14 02:00:00,8.978,0.176,2724.504,8.282,0.284,2724.871,12.787,0.185,2725.04,-99999,-99999,-99999,P,CS100
2020-08-14 03:00:00,8.978,0.174,2724.506,8.282,0.284,2724.871,12.787,0.186,2725.039,-99999,-99999,-99999,P,CS100
2020-08-14 04:00:00,8.978,0.175,2724.505,8.282,0.283,2724.872,12.787,0.185,2725.04,-99999,-99999,-99999,P,CS100
2020-08-14 05:00:00,8.978,0.175,2724.505,8.282,0.286,2724.869,12.787,0.186,2725.039,-99999,-99999,-99999,P,CS100
2020-08-14 06:00:00,8.978,0.176,2724.504,8.282,0.282,2724.873,12.787,0.184,2725.041,-99999,-99999,-99999,P,CS100
2020-08-14 07:00:00,8.978,0.176,2724.504,8.282,0.282,2724.873,12.787,0.186,2725.039,-99999,-99999,-99999,P,CS100
2020-08-14 08:00:00,8.978,0.175,2724.505,8.282,0.283,2724.872,12.787,0.182,2725.043,-99999,-99999,-99999,P,CS100
2020-08-14 09:00:00,8.879,0.175,2724.505,8.282,0.284,2724.871,12.69,0.185,2725.04,-99999,-99999,-99999,P,CS100
2020-08-14 10:00:00,8.879,0.174,2724.506,8.282,0.284,2724.871,12.69,0.185,2725.04,-99999,-99999,-99999,P,CS100
2020-08-14 11:00:00,8.879,0.178,2724.502,8.282,0.284,2724.871,12.69,0.186,2725.039,-99999,-99999,-99999,P,CS100
2020-08-14 12:00:00,8.879,0.179,2724.501,8.282,0.285,2724.87,12.69,0.186,2725.039,-99999,-99999,-99999,P,CS100
2020-08-14 13:00:00,8.879,0.18,2724.5,8.282,0.286,2724.869,12.69,0.188,2725.037,-99999,-99999,-99999,P,CS100
2020-08-14 14:00:00,8.879,0.176,2724.504,8.282,0.286,2724.869,12.69,0.186,2725.039,-99999,-99999,-99999,P,CS100
2020-08-14 15:00:00,8.879,0.179,2724.501,8.282,0.287,2724.868,12.69,0.189,2725.036,-99999,-99999,-99999,P,CS100
2020-08-14 16:00:00,8.879,0.18,2724.5,8.282,0.289,2724.866,12.69,0.189,2725.036,-99999,-99999,-99999,P,CS100
2020-08-14 17:00:00,8.879,0.18,2724.5,8.282,0.288,2724.867,12.594,0.191,2725.034,-99999,-99999,-99999,P,CS100
2020-08-14 18:00:00,8.879,0.181,2724.499,8.282,0.29,2724.865,12.594,0.192,2725.033,-99999,-99999,-99999,P,CS100
2020-08-14 19:00:00,8.879,0.182,2724.498,8.282,0.292,2724.863,12.594,0.193,2725.032,-99999,-99999,-99999,P,CS100
2020-08-14 20:00:00,8.879,0.185,2724.495,8.282,0.293,2724.862,12.594,0.195,2725.03,-99999,-99999,-99999,P,CS100
2020-08-14 21:00:00,8.879,0.184,2724.496,8.282,0.293,2724.862,12.594,0.194,2725.031,-99999,-99999,-99999,P,CS100
2020-08-14 22:00:00,8.879,0.184,2724.496,8.282,0.294,2724.861,12.594,0.194,2725.031,-99999,-99999,-99999,P,CS100
2020-08-14 23:00:00,8.879,0.185,2724.495,8.382,0.293,2724.862,12.594,0.195,2725.03,-99999,-99999,-99999,P,CS100
2020-08-15 00:00:00,8.879,0.186,2724.494,8.382,0.296,2724.859,12.594,0.197,2725.028,-99999,-99999,-99999,P,CS100
2020-08-15 01:00:00,8.879,0.186,2724.494,8.382,0.294,2724.861,12.497,0.197,2725.028,-99999,-99999,-99999,P,CS100
2020-08-15 02:00:00,8.879,0.187,2724.493,8.382,0.296,2724.859,12.497,0.197,2725.028,-99999,-99999,-99999,P,CS100
2020-08-15 03:00:00,8.879,0.186,2724.494,8.382,0.295,2724.86,12.497,0.196,2725.029,-99999,-99999,-99999,P,CS100
2020-08-15 04:00:00,8.879,0.189,2724.491,8.382,0.297,2724.858,12.497,0.198,2725.027,-99999,-99999,-99999,P,CS100
2020-08-15 05:00:00,8.879,0.189,2724.491,8.382,0.297,2724.858,12.497,0.198,2725.027,-99999,-99999,-99999,P,CS100
2020-08-15 06:00:00,8.879,0.188,2724.492,8.382,0.296,2724.859,12.497,0.198,2725.027,-99999,-99999,-99999,P,CS100
2020-08-15 07:00:00,8.879,0.189,2724.491,8.382,0.298,2724.857,12.497,0.199,2725.026,-99999,-99999,-99999,P,CS100
2020-08-15 08:00:00,8.879,0.189,2724.491,8.382,0.297,2724.858,12.497,0.199,2725.026,-99999,-99999,-99999,P,CS100
2020-08-15 09:00:00,8.879,0.188,2724.492,8.382,0.297,2724.858,12.497,0.198,2725.027,-99999,-99999,-99999,P,CS100
2020-08-15 10:00:00,8.779,0.189,2724.491,8.382,0.297,2724.858,12.497,0.197,2725.028,-99999,-99999,-99999,P,CS100
2020-08-15 11:00:00,8.779,0.191,2724.489,8.382,0.297,2724.858,12.401,0.199,2725.026,-99999,-99999,-99999,P,CS100
2020-08-15 12:00:00,8.779,0.191,2724.489,8.382,0.299,2724.856,12.401,0.2,2725.025,-99999,-99999,-99999,P,CS100
2020-08-15 13:00:00,8.779,0.193,2724.487,8.382,0.3,2724.855,12.401,0.201,2725.024,-99999,-99999,-99999,P,CS100
2020-08-15 14:00:00,8.779,0.193,2724.487,8.382,0.298,2724.857,12.401,0.201,2725.024,-99999,-99999,-99999,P,CS100
2020-08-15 15:00:00,8.779,0.193,2724.487,8.382,0.299,2724.856,12.401,0.2,2725.025,-99999,-99999,-99999,P,CS100
2020-08-15 16:00:00,8.779,0.195,2724.485,8.382,0.302,2724.853,12.401,0.203,2725.022,-99999,-99999,-99999,P,CS100
2020-08-15 17:00:00,8.779,0.194,2724.486,8.382,0.302,2724.853,12.401,0.203,2725.022,-99999,-99999,-99999,P,CS100
2020-08-15 18:00:00,8.779,0.195,2724.485,8.382,0.303,2724.852,12.401,0.205,2725.02,-99999,-99999,-99999,P,CS100
2020-08-15 19:00:00,8.779,0.196,2724.484,8.382,0.304,2724.851,12.401,0.206,2725.019,-99999,-99999,-99999,P,CS100
2020-08-15 20:00:00,8.779,0.198,2724.482,8.382,0.304,2724.851,12.304,0.207,2725.018,-99999,-99999,-99999,P,CS100
2020-08-15 21:00:00,8.779,0.197,2724.483,8.382,0.306,2724.849,12.304,0.207,2725.018,-99999,-99999,-99999,P,CS100
2020-08-15 22:00:00,8.779,0.197,2724.483,8.481,0.307,2724.848,12.304,0.208,2725.017,-99999,-99999,-99999,P,CS100
2020-08-15 23:00:00,8.779,0.198,2724.482,8.481,0.306,2724.849,12.304,0.209,2725.016,-99999,-99999,-99999,P,CS100
2020-08-16 00:00:00,8.779,0.198,2724.482,8.481,0.307,2724.848,12.304,0.209,2725.016,-99999,-99999,-99999,P,CS100
2020-08-16 01:00:00,8.779,0.197,2724.483,8.481,0.307,2724.848,12.304,0.208,2725.017,-99999,-99999,-99999,P,CS100
2020-08-16 02:00:00,8.779,0.199,2724.481,8.481,0.307,2724.848,12.304,0.209,2725.016,-99999,-99999,-99999,P,CS100
2020-08-16 03:00:00,8.779,0.2,2724.48,8.481,0.307,2724.848,12.304,0.208,2725.017,-99999,-99999,-99999,P,CS100
2020-08-16 04:00:00,8.779,0.2,2724.48,8.481,0.306,2724.849,12.304,0.21,2725.015,-99999,-99999,-99999,P,CS100
2020-08-16 05:00:00,8.779,0.199,2724.481,8.481,0.307,2724.848,12.207,0.209,2725.016,-99999,-99999,-99999,P,CS100
2020-08-16 06:00:00,8.779,0.2,2724.48,8.481,0.308,2724.847,12.207,0.21,2725.015,-99999,-99999,-99999,P,CS100
2020-08-16 07:00:00,8.779,0.198,2724.482,8.481,0.309,2724.846,12.207,0.21,2725.015,-99999,-99999,-99999,P,CS100
2020-08-16 08:00:00,8.779,0.198,2724.482,8.481,0.306,2724.849,12.207,0.209,2725.016,-99999,-99999,-99999,P,CS100
2020-08-16 09:00:00,8.779,0.2,2724.48,8.481,0.305,2724.85,12.207,0.21,2725.015,-99999,-99999,-99999,P,CS100
2020-08-16 10:00:00,8.779,0.199,2724.481,8.481,0.307,2724.848,12.207,0.21,2725.015,-99999,-99999,-99999,P,CS100
2020-08-16 11:00:00,8.779,0.2,2724.48,8.481,0.307,2724.848,12.207,0.21,2725.015,-99999,-99999,-99999,P,CS100
2020-08-16 12:00:00,8.779,0.201,2724.479,8.481,0.31,2724.845,12.207,0.211,2725.014,-99999,-99999,-99999,P,CS100
2020-08-16 13:00:00,8.779,0.203,2724.477,8.481,0.309,2724.846,12.207,0.21,2725.015,-99999,-99999,-99999,P,CS100
2020-08-16 14:00:00,8.779,0.201,2724.479,8.481,0.308,2724.847,12.207,0.211,2725.014,-99999,-99999,-99999,P,CS100
2020-08-16 15:00:00,8.779,0.2,2724.48,8.481,0.31,2724.845,12.207,0.211,2725.014,-99999,-99999,-99999,P,CS100
2020-08-16 16:00:00,8.779,0.203,2724.477,8.481,0.309,2724.846,12.207,0.212,2725.013,-99999,-99999,-99999,P,CS100
2020-08-16 17:00:00,8.779,0.203,2724.477,8.481,0.31,2724.845,12.11,0.212,2725.013,-99999,-99999,-99999,P,CS100
2020-08-16 18:00:00,8.779,0.205,2724.475,8.481,0.312,2724.843,12.11,0.215,2725.01,-99999,-99999,-99999,P,CS100
2020-08-16 19:00:00,8.779,0.206,2724.474,8.481,0.313,2724.842,12.11,0.216,2725.009,-99999,-99999,-99999,P,CS100
2020-08-16 20:00:00,8.779,0.206,2724.474,8.481,0.316,2724.839,12.11,0.216,2725.009,-99999,-99999,-99999,P,CS100
2020-08-16 21:00:00,8.779,0.205,2724.475,8.481,0.313,2724.842,12.11,0.216,2725.009,-99999,-99999,-99999,P,CS100
2020-08-16 22:00:00,8.779,0.205,2724.475,8.481,0.314,2724.841,12.11,0.217,2725.008,-99999,-99999,-99999,P,CS100
2020-08-16 23:00:00,8.779,0.207,2724.473,8.581,0.314,2724.841,12.11,0.218,2725.007,-99999,-99999,-99999,P,CS100
2020-08-17 00:00:00,8.779,0.208,2724.472,8.581,0.314,2724.841,12.11,0.219,2725.006,-99999,-99999,-99999,P,CS100
2020-08-17 01:00:00,8.779,0.208,2724.472,8.581,0.313,2724.842,12.11,0.218,2725.007,-99999,-99999,-99999,P,CS100
2020-08-17 02:00:00,8.779,0.208,2724.472,8.581,0.316,2724.839,12.013,0.218,2725.007,-99999,-99999,-99999,P,CS100
2020-08-17 03:00:00,8.779,0.208,2724.472,8.581,0.315,2724.84,12.013,0.217,2725.008,-99999,-99999,-99999,P,CS100
2020-08-17 04:00:00,8.779,0.209,2724.471,8.581,0.316,2724.839,12.013,0.216,2725.009,-99999,-99999,-99999,P,CS100
2020-08-17 05:00:00,8.779,0.208,2724.472,8.581,0.314,2724.841,12.013,0.217,2725.008,-99999,-99999,-99999,P,CS100
2020-08-17 06:00:00,8.779,0.208,2724.472,8.581,0.313,2724.842,12.013,0.217,2725.008,-99999,-99999,-99999,P,CS100
2020-08-17 07:00:00,8.779,0.207,2724.473,8.581,0.313,2724.842,12.013,0.21,2725.015,-99999,-99999,-99999,P,CS100
2020-08-17 08:00:00,8.779,0.208,2724.472,8.581,0.314,2724.841,12.013,0.214,2725.011,-99999,-99999,-99999,P,CS100
2020-08-17 09:00:00,8.779,0.207,2724.473,8.581,0.313,2724.842,12.013,0.214,2725.011,-99999,-99999,-99999,P,CS100
