DateTime.MST,SR-SC-1.1_WaterTemp.deg.C,SR-SC-1.1_DTW.m,SR-SC-1.1_WaterLevelElev.masl,SR-SC-2.1_WaterTemp.deg.C,SR-SC-2.1_DTW.m,SR-SC-2.1_WaterLevelElev.masl,SR-SC-2.2_WaterTemp.deg.C,SR-SC-2.2_DTW.m,SR-SC-2.2_WaterLevelElev.masl,SR-BD-WT_WaterTemp.deg.C,SR-BD-WT_DTW.m,SR-BD-WT_WaterLevelElev.masl,SR-OBJ-Fenceline-WT_WaterTemp.deg.C,SR-OBJ-Fenceline-WT_DTW.m,SR-OBJ-Fenceline-WT_WaterLevelElev.masl,DataFlag_01,DataFlag_02
2022-01-01 00:00:00,2.303,0.27,2724.41,1.872,0.411,2724.744,2.303,0.359,2724.866,3.155,-0.09,2725.29,0.343,0.881,2725.524,P,CS100
2022-01-01 01:00:00,2.303,0.272,2724.408,1.872,0.411,2724.744,2.303,0.358,2724.867,3.155,-0.087,2725.287,0.343,0.886,2725.519,P,CS100
2022-01-01 02:00:00,2.303,0.271,2724.409,1.872,0.412,2724.743,2.303,0.36,2724.865,3.155,-0.084,2725.284,0.343,0.891,2725.514,P,CS100
2022-01-01 03:00:00,2.195,0.273,2724.407,1.872,0.413,2724.742,2.303,0.36,2724.865,3.155,-0.078,2725.278,0.343,0.892,2725.513,P,CS100
2022-01-01 04:00:00,2.195,0.276,2724.404,1.872,0.414,2724.741,2.303,0.363,2724.862,3.155,-0.073,2725.273,0.343,-99999,-99999,P,CS100
2022-01-01 05:00:00,2.195,0.275,2724.405,1.872,0.415,2724.74,2.303,0.363,2724.862,3.155,-0.068,2725.268,0.343,-99999,-99999,P,CS100
2022-01-01 06:00:00,2.195,0.276,2724.404,1.872,0.413,2724.742,2.303,0.362,2724.863,3.155,-0.066,2725.266,0.343,-99999,-99999,P,CS100
2022-01-01 07:00:00,2.195,0.278,2724.402,1.872,0.414,2724.741,2.303,0.363,2724.862,3.155,-0.079,2725.279,0.343,-99999,-99999,P,CS100
2022-01-01 08:00:00,2.195,0.277,2724.403,1.764,0.412,2724.743,2.303,0.362,2724.863,3.155,-0.107,2725.307,0.343,-99999,-99999,P,CS100
2022-01-01 09:00:00,2.195,0.275,2724.405,1.764,0.41,2724.745,2.303,0.36,2724.865,3.155,-0.135,2725.335,0.343,-99999,-99999,P,CS100
2022-01-01 10:00:00,2.195,0.276,2724.404,1.764,0.41,2724.745,2.303,0.361,2724.864,3.155,-0.159,2725.359,0.343,-99999,-99999,P,CS100
2022-01-01 11:00:00,2.195,0.278,2724.402,1.764,0.41,2724.745,2.303,0.36,2724.865,3.155,-0.181,2725.381,0.343,-99999,-99999,P,CS100
2022-01-01 12:00:00,2.195,0.279,2724.401,1.764,0.411,2724.744,2.303,0.36,2724.865,3.155,-0.203,2725.403,0.343,0.892,2725.513,P,CS100
2022-01-01 13:00:00,2.195,0.279,2724.401,1.764,0.411,2724.744,2.303,0.36,2724.865,3.155,-0.236,2725.436,0.343,0.886,2725.519,P,CS100
2022-01-01 14:00:00,2.195,0.278,2724.402,1.764,0.408,2724.747,2.303,0.359,2724.866,3.155,-0.273,2725.473,0.343,0.879,2725.526,P,CS100
2022-01-01 15:00:00,2.195,0.275,2724.405,1.764,0.406,2724.749,2.303,0.358,2724.867,3.049,-0.296,2725.496,0.343,0.87,2725.535,P,CS100
2022-01-01 16:00:00,2.195,0.276,2724.404,1.764,0.408,2724.747,2.303,0.359,2724.866,3.049,-0.3,2725.5,0.343,0.864,2725.541,P,CS100
2022-01-01 17:00:00,2.195,0.274,2724.406,1.764,0.406,2724.749,2.303,0.356,2724.869,3.049,-0.299,2725.499,0.343,0.857,2725.548,P,CS100
2022-01-01 18:00:00,2.195,0.276,2724.404,1.764,0.407,2724.748,2.303,0.357,2724.868,3.049,-0.299,2725.499,0.343,0.848,2725.557,P,CS100
2022-01-01 19:00:00,2.195,0.275,2724.405,1.764,0.405,2724.75,2.303,0.356,2724.869,3.049,-0.3,2725.5,0.343,0.842,2725.563,P,CS100
2022-01-01 20:00:00,2.195,0.274,2724.406,1.764,0.406,2724.749,2.303,0.357,2724.868,3.049,-0.3,2725.5,0.343,0.838,2725.567,P,CS100
2022-01-01 21:00:00,2.195,0.271,2724.409,1.764,0.403,2724.752,2.303,0.354,2724.871,3.049,-0.303,2725.503,0.343,0.832,2725.573,P,CS100
2022-01-01 22:00:00,2.195,0.27,2724.41,1.764,0.404,2724.751,2.303,0.353,2724.872,3.049,-0.305,2725.505,0.343,0.828,2725.577,P,CS100
2022-01-01 23:00:00,2.195,0.267,2724.413,1.764,0.399,2724.756,2.303,0.35,2724.875,3.049,-0.307,2725.507,0.343,0.821,2725.584,P,CS100
2022-01-02 00:00:00,2.195,0.266,2724.414,1.764,0.4,2724.755,2.303,0.348,2724.877,3.049,-0.307,2725.507,0.343,0.819,2725.586,P,CS100
2022-01-02 01:00:00,2.195,0.264,2724.416,1.764,0.397,2724.758,2.303,0.348,2724.877,3.049,-0.306,2725.506,0.343,0.814,2725.591,P,CS100
2022-01-02 02:00:00,2.195,0.261,2724.419,1.764,0.397,2724.758,2.303,0.345,2724.88,3.049,-0.307,2725.507,0.343,0.813,2725.592,P,CS100
2022-01-02 03:00:00,2.195,0.259,2724.421,1.764,0.394,2724.761,2.303,0.344,2724.881,3.049,-0.309,2725.509,0.343,0.81,2725.595,P,CS100
2022-01-02 04:00:00,2.195,0.258,2724.422,1.764,0.392,2724.763,2.303,0.343,2724.882,3.049,-0.309,2725.509,0.343,0.806,2725.599,P,CS100
2022-01-02 05:00:00,2.195,0.255,2724.425,1.764,0.391,2724.764,2.303,0.34,2724.885,3.049,-0.311,2725.511,0.343,0.806,2725.599,P,CS100
2022-01-02 06:00:00,2.195,0.254,2724.426,1.764,0.389,2724.766,2.303,0.339,2724.886,3.049,-0.314,2725.514,0.343,0.801,2725.604,P,CS100
