DateTime.MST,SR-OBJ-ET0_WaterTemp.deg.C,SR-OBJ-ET0_DTW.m,SR-OBJ-ET0_WaterLevelElev.masl,DataFlag_01,DataFlag_02
2019-01-01 00:00:00,4.102,1.227,2724.695,P,ER HOBO
2019-01-01 01:00:00,4.102,1.231,2724.691,P,ER HOBO
2019-01-01 02:00:00,4.102,1.234,2724.688,P,ER HOBO
2019-01-01 03:00:00,4.102,1.232,2724.69,P,ER HOBO
2019-01-01 04:00:00,4.102,1.234,2724.688,P,ER HOBO
2019-01-01 05:00:00,4.102,1.234,2724.688,P,ER HOBO
2019-01-01 06:00:00,4.102,1.23,2724.692,P,ER HOBO
2019-01-01 07:00:00,4.102,1.234,2724.688,P,ER HOBO
2019-01-01 08:00:00,4.102,1.234,2724.688,P,ER HOBO
2019-01-01 09:00:00,4.102,1.234,2724.688,P,ER HOBO
2019-01-01 10:00:00,4.102,1.232,2724.69,P,ER HOBO
2019-01-01 11:00:00,4.102,1.232,2724.69,P,ER HOBO
2019-01-01 12:00:00,4.102,1.23,2724.692,P,ER HOBO
2019-01-01 13:00:00,4.102,1.227,2724.695,P,ER HOBO
2019-01-01 14:00:00,4.102,1.225,2724.697,P,ER HOBO
2019-01-01 15:00:00,4.102,1.224,2724.698,P,ER HOBO
2019-01-01 16:00:00,4.102,1.235,2724.687,P,ER HOBO
2019-01-01 17:00:00,4.102,1.249,2724.673,P,ER HOBO
2019-01-01 18:00:00,4.102,1.258,2724.664,P,ER HOBO
2019-01-01 19:00:00,4.102,1.263,2724.659,P,ER HOBO
2019-01-01 20:00:00,4.102,1.269,2724.653,P,ER HOBO
2019-01-01 21:00:00,4.102,1.272,2724.65,P,ER HOBO
2019-01-01 22:00:00,4.102,1.28,2724.642,P,ER HOBO
2019-01-01 23:00:00,4.102,1.27,2724.652,P,ER HOBO
2019-01-02 00:00:00,4.102,1.282,2724.64,P,ER HOBO
2019-01-02 01:00:00,4.102,1.289,2724.633,P,ER HOBO
2019-01-02 02:00:00,4.102,1.297,2724.625,P,ER HOBO
2019-01-02 03:00:00,4.102,1.3,2724.622,P,ER HOBO
2019-01-02 04:00:00,4.102,1.299,2724.623,P,ER HOBO
2019-01-02 05:00:00,4.102,1.299,2724.623,P,ER HOBO
2019-01-02 06:00:00,4.102,1.307,2724.615,P,ER HOBO
2019-01-02 07:00:00,4.102,1.305,2724.617,P,ER HOBO
2019-01-02 08:00:00,4.102,1.309,2724.613,P,ER HOBO
2019-01-02 09:00:00,4.102,1.269,2724.653,P,ER HOBO
2019-01-02 10:00:00,4.102,1.254,2724.668,P,ER HOBO
2019-01-02 11:00:00,4.102,1.241,2724.681,P,ER HOBO
2019-01-02 12:00:00,4.102,1.235,2724.687,P,ER HOBO
2019-01-02 13:00:00,4.102,1.227,2724.695,P,ER HOBO
2019-01-02 14:00:00,4.102,1.229,2724.693,P,ER HOBO
2019-01-02 15:00:00,4.102,1.229,2724.693,P,ER HOBO
2019-01-02 16:00:00,4.102,1.241,2724.681,P,ER HOBO
2019-01-02 17:00:00,4.102,1.256,2724.666,P,ER HOBO
2019-01-02 18:00:00,4.102,1.268,2724.654,P,ER HOBO
2019-01-02 19:00:00,4.102,1.274,2724.648,P,ER HOBO
2019-01-02 20:00:00,4.102,1.279,2724.643,P,ER HOBO
2019-01-02 21:00:00,4.102,1.28,2724.642,P,ER HOBO
2019-01-02 22:00:00,4.102,1.283,2724.639,P,ER HOBO
2019-01-02 23:00:00,4.102,1.286,2724.636,P,ER HOBO
2019-01-03 00:00:00,4.102,1.281,2724.641,P,ER HOBO
