DateTime.MST,SR-DSofDAM-WT_WaterTemp.deg.C,SR-DSofDAM-WT_DTW.m,SR-DSofDAM-WT_WaterLevelElev.masl,SR-OBJ1-WT_WaterTemp.deg.C,SR-OBJ1-WT_DTW.m,SR-OBJ1-WT_WaterLevelElev.masl,SR-OBJ-ET0_WaterTemp.deg.C,SR-OBJ-ET0_DTW.m,SR-OBJ-ET0_WaterLevelElev.masl,SR-OBJ-ET1_WaterTemp.deg.C,SR-OBJ-ET1_DTW.m,SR-OBJ-ET1_WaterLevelElev.masl,SR-OBJ-ET2_WaterTemp.deg.C,SR-OBJ-ET2_DTW.m,SR-OBJ-ET2_WaterLevelElev.masl,SR-OBJ-ET3_WaterTemp.deg.C,SR-OBJ-ET3_DTW.m,SR-OBJ-ET3_WaterLevelElev.masl,SR-OBJ-ET4_WaterTemp.deg.C,SR-OBJ-ET4_DTW.m,SR-OBJ-ET4_WaterLevelElev.masl,DataFlag_01,DataFlag_02
2021-01-01 00:00:00,-99999,-99999,-99999,-99999,-99999,-99999,3.998,0.535,2725.387,4.207,0.706,2725.57,2.837,0.968,2725.374,3.578,0.522,2725.613,1.98,0.352,2725.612,P,KCOCREST39 & KCOCREST46
2021-01-01 01:00:00,-99999,-99999,-99999,-99999,-99999,-99999,3.998,0.538,2725.384,4.207,0.71,2725.566,2.837,0.972,2725.37,3.578,0.525,2725.61,1.98,0.356,2725.608,P,KCOCREST39 & KCOCREST46
2021-01-01 02:00:00,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.539,2725.383,4.207,0.711,2725.565,2.837,0.973,2725.369,3.578,0.526,2725.609,1.98,0.356,2725.608,P,KCOCREST39 & KCOCREST46
2021-01-01 03:00:00,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.534,2725.388,4.207,0.708,2725.568,2.837,0.969,2725.373,3.578,0.523,2725.612,1.98,0.353,2725.611,P,KCOCREST39 & KCOCREST46
2021-01-01 04:00:00,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.536,2725.386,4.207,0.709,2725.567,2.837,0.969,2725.373,3.578,0.522,2725.613,1.98,0.353,2725.611,P,KCOCREST39 & KCOCREST46
2021-01-01 05:00:00,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.536,2725.386,4.207,0.708,2725.568,2.837,0.97,2725.372,3.578,0.523,2725.612,1.98,0.353,2725.611,P,KCOCREST39 & KCOCREST46
2021-01-01 06:00:00,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.537,2725.385,4.207,0.709,2725.567,2.73,0.971,2725.371,3.578,0.525,2725.61,1.98,0.354,2725.61,P,KCOCREST39 & KCOCREST46
2021-01-01 07:00:00,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.534,2725.388,4.207,0.709,2725.567,2.837,0.971,2725.371,3.578,0.524,2725.611,1.98,0.353,2725.611,P,KCOCREST39 & KCOCREST46
2021-01-01 08:00:00,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.538,2725.384,4.102,0.711,2725.565,2.837,0.971,2725.371,3.578,0.526,2725.609,1.98,0.355,2725.609,P,KCOCREST39 & KCOCREST46
2021-01-01 09:00:00,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.536,2725.386,4.102,0.71,2725.566,2.73,0.97,2725.372,3.578,0.524,2725.611,1.98,0.352,2725.612,P,KCOCREST39 & KCOCREST46
2021-01-01 10:00:00,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.53,2725.392,4.102,0.708,2725.568,2.73,0.968,2725.374,3.578,0.52,2725.615,1.98,0.35,2725.614,P,KCOCREST39 & KCOCREST46
