DateTime.MST,SR-OBJ-GBPiezo-2_WaterTemp.deg.C,SR-OBJ-GBPiezo-2_DTW.m,SR-OBJ-GBPiezo-2_WaterLevelElev.masl,SR-OBJ-GBPiezo-4_WaterTemp.deg.C,SR-OBJ-GBPiezo-4_DTW.m,SR-OBJ-GBPiezo-4_WaterLevelElev.masl,SR-OBJ-GBPiezo-5_WaterTemp.deg.C,SR-OBJ-GBPiezo-5_DTW.m,SR-OBJ-GBPiezo-5_WaterLevelElev.masl,SR-OBJ-GBPiezo-6_WaterTemp.deg.C,SR-OBJ-GBPiezo-6_DTW.m,SR-OBJ-GBPiezo-6_WaterLevelElev.masl,SR-OBJ-GBPiezo-7_WaterTemp.deg.C,SR-OBJ-GBPiezo-7_DTW.m,SR-OBJ-GBPiezo-7_WaterLevelElev.masl,SR-OBJ-GBPiezo-8_WaterTemp.deg.C,SR-OBJ-GBPiezo-8_DTW.m,SR-OBJ-GBPiezo-8_WaterLevelElev.masl,SR-OBJ-GBPiezo-9_WaterTemp.deg.C,SR-OBJ-GBPiezo-9_DTW.m,SR-OBJ-GBPiezo-9_WaterLevelElev.masl,SR-OBJ-GBPiezo-10_WaterTemp.deg.C,SR-OBJ-GBPiezo-10_DTW.m,SR-OBJ-GBPiezo-10_WaterLevelElev.masl,DataFlag_01,DataFlag_02
2021-01-01 00:00:00,2.837,1.142,2725.219,2.41,1.194,2724.795,1.548,1.108,2724.723,2.73,0.87,2724.583,3.893,0.966,2724.733,1.221,1.011,2725.148,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 01:00:00,2.837,1.145,2725.216,2.303,1.199,2724.79,1.548,1.113,2724.718,2.73,0.873,2724.58,3.893,0.971,2724.728,1.112,1.017,2725.142,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 02:00:00,2.837,1.145,2725.216,2.303,1.2,2724.789,1.548,1.111,2724.72,2.73,0.877,2724.576,3.893,0.971,2724.728,1.112,1.016,2725.143,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 03:00:00,2.837,1.142,2725.219,2.303,1.196,2724.793,1.548,1.111,2724.72,2.73,0.871,2724.582,3.893,0.969,2724.73,1.112,1.014,2725.145,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 04:00:00,2.837,1.142,2725.219,2.303,1.194,2724.795,1.548,1.109,2724.722,2.73,0.872,2724.581,3.893,0.969,2724.73,1.112,1.014,2725.145,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 05:00:00,2.837,1.144,2725.217,2.303,1.198,2724.791,1.548,1.111,2724.72,2.73,0.872,2724.581,3.893,0.969,2724.73,1.112,1.017,2725.142,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 06:00:00,2.837,1.143,2725.218,2.303,1.198,2724.791,1.548,1.111,2724.72,2.73,0.872,2724.581,3.893,0.971,2724.728,1.112,1.016,2725.143,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 07:00:00,2.837,1.143,2725.218,2.303,1.197,2724.792,1.548,1.111,2724.72,2.73,0.874,2724.579,3.893,0.971,2724.728,1.112,1.015,2725.144,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 08:00:00,2.837,1.145,2725.216,2.303,1.199,2724.79,1.548,1.112,2724.719,2.73,0.875,2724.578,3.893,0.973,2724.726,1.112,1.017,2725.142,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 09:00:00,2.73,1.144,2725.217,2.303,1.197,2724.792,1.548,1.11,2724.721,2.73,0.871,2724.582,3.893,0.968,2724.731,1.112,1.015,2725.144,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
