DateTime.MST,SR-OBJ1-D_WaterTemp.deg.C,SR-OBJ1-D_DTW.m,SR-OBJ1-D_WaterLevelElev.masl,SR-OBJ1-M_WaterTemp.deg.C,SR-OBJ1-M_DTW.m,SR-OBJ1-M_WaterLevelElev.masl,SR-OBJ1-S_WaterTemp.deg.C,SR-OBJ1-S_DTW.m,SR-OBJ1-S_WaterLevelElev.masl,SR-OBJ2-D_WaterTemp.deg.C,SR-OBJ2-D_DTW.m,SR-OBJ2-D_WaterLevelElev.masl,SR-OBJ2-M_WaterTemp.deg.C,SR-OBJ2-M_DTW.m,SR-OBJ2-M_WaterLevelElev.masl,SR-OBJ2-S_WaterTemp.deg.C,SR-OBJ2-S_DTW.m,SR-OBJ2-S_WaterLevelElev.masl,DataFlag_01,DataFlag_02
2019-10-25 23:00:00,6.064,1.176,2725.188,6.775,0.843,2725.503,4.934,1.087,2725.286,5.962,1.028,2724.907,6.775,1.506,2724.416,5.347,0.802,2725.113,P,HOBO
2019-10-26 00:00:00,6.064,1.191,2725.173,6.775,0.86,2725.486,4.934,-99999,-99999,5.962,1.044,2724.891,6.775,1.524,2724.398,5.347,0.82,2725.095,P,CS100
2019-10-26 01:00:00,6.064,1.187,2725.177,6.775,0.861,2725.485,4.934,-99999,-99999,5.962,1.041,2724.894,6.674,1.522,2724.4,5.347,0.818,2725.097,P,CS100
2019-10-26 02:00:00,6.064,1.184,2725.18,6.775,0.86,2725.486,4.934,-99999,-99999,5.962,1.038,2724.897,6.674,1.52,2724.402,5.347,0.815,2725.1,P,CS100
2019-10-26 03:00:00,6.064,1.178,2725.186,6.775,0.859,2725.487,4.934,1.101,2725.272,5.962,1.036,2724.899,6.674,1.518,2724.404,5.347,0.815,2725.1,P,CS100
2019-10-26 04:00:00,6.064,1.175,2725.189,6.775,0.86,2725.486,4.934,1.1,2725.273,5.962,1.035,2724.9,6.674,1.516,2724.406,5.347,0.814,2725.101,P,CS100
2019-10-26 05:00:00,6.064,1.173,2725.191,6.775,0.861,2725.485,4.934,1.097,2725.276,5.962,1.031,2724.904,6.674,1.515,2724.407,5.347,0.812,2725.103,P,CS100
2019-10-26 06:00:00,6.064,1.171,2725.193,6.775,0.861,2725.485,4.934,1.097,2725.276,5.962,1.03,2724.905,6.674,1.513,2724.409,5.347,0.812,2725.103,P,CS100
2019-10-26 07:00:00,6.064,1.166,2725.198,6.775,0.86,2725.486,4.934,1.095,2725.278,5.962,1.026,2724.909,6.674,1.511,2724.411,5.347,0.808,2725.107,P,CS100
2019-10-26 08:00:00,6.064,1.164,2725.2,6.775,0.862,2725.484,4.934,1.093,2725.28,5.962,1.026,2724.909,6.674,1.508,2724.414,5.347,0.807,2725.108,P,CS100
2019-10-26 09:00:00,6.064,1.159,2725.205,6.775,0.862,2725.484,4.934,1.091,2725.282,5.962,1.022,2724.913,6.674,1.504,2724.418,5.347,0.805,2725.11,P,CS100
2019-10-26 10:00:00,6.064,1.155,2725.209,6.775,0.861,2725.485,4.934,1.09,2725.283,5.962,1.021,2724.914,6.674,1.503,2724.419,5.347,0.802,2725.113,P,CS100
2019-10-26 11:00:00,6.064,1.155,2725.209,6.775,0.863,2725.483,4.934,1.088,2725.285,5.962,1.018,2724.917,6.674,1.502,2724.42,5.347,0.801,2725.114,P,CS100
