DateTime.MST,SR-OBJ1-D_WaterTemp.deg.C,SR-OBJ1-D_DTW.m,SR-OBJ1-D_WaterLevelElev.masl,SR-OBJ1-M_WaterTemp.deg.C,SR-OBJ1-M_DTW.m,SR-OBJ1-M_WaterLevelElev.masl,SR-OBJ1-S_WaterTemp.deg.C,SR-OBJ1-S_DTW.m,SR-OBJ1-S_WaterLevelElev.masl,SR-OBJ2-D_WaterTemp.deg.C,SR-OBJ2-D_DTW.m,SR-OBJ2-D_WaterLevelElev.masl,SR-OBJ2-M_WaterTemp.deg.C,SR-OBJ2-M_DTW.m,SR-OBJ2-M_WaterLevelElev.masl,SR-OBJ2-S_WaterTemp.deg.C,SR-OBJ2-S_DTW.m,SR-OBJ2-S_WaterLevelElev.masl,SR-OBJ4-Piezo-140_WaterTemp.deg.C,SR-OBJ4-Piezo-140_DTW.m,SR-OBJ4-Piezo-140_WaterLevelElev.masl,SR-OBJ4-Piezo-200_WaterTemp.deg.C,SR-OBJ4-Piezo-200_DTW.m,SR-OBJ4-Piezo-200_WaterLevelElev.masl,SR-OBJ4-GBPiezo-245_WaterTemp.deg.C,SR-OBJ4-GBPiezo-245_DTW.m,SR-OBJ4-GBPiezo-245_WaterLevelElev.masl,SR-OBJ4-GBPiezo-335_WaterTemp.deg.C,SR-OBJ4-GBPiezo-335_DTW.m,SR-OBJ4-GBPiezo-335_WaterLevelElev.masl,SR-DSofDAM-VHG-90_WaterTemp.deg.C,SR-DSofDAM-VHG-90_DTW.m,SR-DSofDAM-VHG-90_WaterLevelElev.masl,SR-DSofDAM-VHG-160_WaterTemp.deg.C,SR-DSofDAM-VHG-160_DTW.m,SR-DSofDAM-VHG-160_WaterLevelElev.masl,SR-OBJ-GBPiezo-7_WaterTemp.deg.C,SR-OBJ-GBPiezo-7_DTW.m,SR-OBJ-GBPiezo-7_WaterLevelElev.masl,SR-Floodplain-VHG-115_WaterTemp.deg.C,SR-Floodplain-VHG-115_DTW.m,SR-Floodplain-VHG-115_WaterLevelElev.masl,SR-Floodplain-VHG-160_WaterTemp.deg.C,SR-Floodplain-VHG-160_DTW.m,SR-Floodplain-VHG-160_WaterLevelElev.masl,DataFlag_01,DataFlag_02
2021-01-01 00:00:00,1.98,1.164,2725.2,2.195,1.13,2725.216,1.548,0.64,2725.733,2.943,1.035,2724.9,3.788,0.596,2725.326,2.088,0.179,2725.736,2.73,0.542,2725.575,3.578,0.804,2725.313,3.683,1.004,2725.07,3.788,0.963,2725.133,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.966,2724.733,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 01:00:00,1.98,1.166,2725.198,2.195,1.132,2725.214,1.548,0.644,2725.729,2.943,1.039,2724.896,3.788,0.603,2725.319,2.088,0.182,2725.733,2.73,0.545,2725.572,3.578,0.808,2725.309,3.683,1.009,2725.065,3.788,0.967,2725.129,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.971,2724.728,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 02:00:00,1.98,1.167,2725.197,2.195,1.135,2725.211,1.548,0.645,2725.728,2.943,1.042,2724.893,3.788,0.601,2725.321,2.088,0.184,2725.731,2.624,0.546,2725.571,3.578,0.81,2725.307,3.683,1.009,2725.065,3.788,0.968,2725.128,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.971,2724.728,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 03:00:00,1.98,1.164,2725.2,2.195,1.13,2725.216,1.548,0.641,2725.732,2.943,1.037,2724.898,3.788,0.597,2725.325,2.088,0.18,2725.735,2.624,0.542,2725.575,3.578,0.806,2725.311,3.683,1.006,2725.068,3.788,0.965,2725.131,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.969,2724.73,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 04:00:00,1.98,1.164,2725.2,2.195,1.13,2725.216,1.548,0.64,2725.733,2.943,1.037,2724.898,3.788,0.597,2725.325,2.088,0.181,2725.734,2.624,0.545,2725.572,3.578,0.806,2725.311,3.683,1.007,2725.067,3.788,0.965,2725.131,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.969,2724.73,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 05:00:00,1.98,1.165,2725.199,2.195,1.131,2725.215,1.439,0.643,2725.73,2.943,1.038,2724.897,3.788,0.598,2725.324,2.088,0.182,2725.733,2.624,0.545,2725.572,3.578,0.808,2725.309,3.683,1.009,2725.065,3.788,0.966,2725.13,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.969,2724.73,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 06:00:00,1.98,1.164,2725.2,2.195,1.131,2725.215,1.548,0.644,2725.729,2.943,1.04,2724.895,3.788,0.598,2725.324,2.088,0.182,2725.733,2.624,0.544,2725.573,3.578,0.808,2725.309,3.683,1.01,2725.064,3.788,0.966,2725.13,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.971,2724.728,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 07:00:00,1.98,1.165,2725.199,2.195,1.131,2725.215,1.439,0.642,2725.731,2.943,1.04,2724.895,3.788,0.599,2725.323,2.088,0.182,2725.733,2.624,0.543,2725.574,3.578,0.808,2725.309,3.683,1.009,2725.065,3.788,0.967,2725.129,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.971,2724.728,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 08:00:00,1.98,1.167,2725.197,2.195,1.134,2725.212,1.439,0.644,2725.729,2.943,1.04,2724.895,3.788,0.601,2725.321,2.088,0.183,2725.732,2.624,0.547,2725.57,3.578,0.811,2725.306,3.683,1.011,2725.063,3.788,0.967,2725.129,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.973,2724.726,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 09:00:00,1.98,1.166,2725.198,2.195,1.132,2725.214,1.439,0.643,2725.73,2.943,1.039,2724.896,3.788,0.597,2725.325,2.088,0.181,2725.734,2.624,0.545,2725.572,3.578,0.807,2725.31,3.683,1.008,2725.066,3.788,0.966,2725.13,-99999,-99999,-99999,-99999,-99999,-99999,3.893,0.968,2724.731,-99999,-99999,-99999,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
