ParameterColumnName,Easting.UTM.13N,Northing.UTM.13N,GradeElevation.masl,ScreenIntervalTop.m,ScreenIntervalBottom.m,Depth.m,Texture
GB2,324083.424,4308684.19,2726.361,3.234,3.386,3.31,Cobble
GB4,324123.28,4308645.628,2725.989,3.234,3.386,3.31,Cobble
GB5,324137.14,4308643.824,2725.831,3.234,3.386,3.31,Cobble
GB6,324172.381,4308655.328,2725.453,3.234,3.386,3.31,Cobble
GB7,324163.99,4308686.179,2725.699,3.234,3.386,3.31,Cobble
GB8,324122.633,4308700.254,2726.159,3.234,3.386,3.31,Cobble
GB9,324023.6,4308674.51,2726.201,1.764,1.916,1.84,Cobble
GB10,324030.9,4308718.56,2726.403,2.124,2.276,2.2,Cobble
OBJ1-D,324105.195,4308708.726,2726.364,3.537,3.689,3.613,Cobble
OBJ1-M,324105.422,4308708.769,2726.346,1.835,1.987,1.911,Fines
OBJ1-S,324105.305,4308708.933,2726.373,1.199,1.351,1.275,Fines
OBJ2-D,324141.76,4308678.336,2725.935,2.862,3.014,2.938,Cobble
OBJ2-M,324141.59,4308678.544,2725.922,1.766,1.918,1.842,Fines
OBJ2-S,324141.844,4308678.574,2725.915,1.191,1.343,1.267,Fines
OBJ4-D,324107.16,4308685.814,2726.096,3.274,3.426,3.35,Cobble
OBJ4-M,324106.673,4308686.075,2726.117,1.924,2.076,2,Fines
OBJ4-S,324106.902,4308686.111,2726.117,1.324,1.476,1.4,Fines
