DateTime.MST,GB2,GB4,GB5,GB6,GB7,GB8,GB9,GB10,GB2_T,GB4_T,GB5_T,GB6_T,GB7_T,GB8_T,GB9_T,GB10_T
2020-07-06 11:00:00,,,,,,,,,,,,,,,,
2020-07-06 12:00:00,,,,,,,,,,,,,,,,
2020-07-06 13:00:00,,,,,,,,,,,,,,,,
2020-07-06 14:00:00,,,,,,,,,,,,,,,,
2020-07-06 15:00:00,,,,,,,,,,,,,,,,
2020-07-06 16:00:00,,,,,,,,,,,,,,,,
2020-07-06 17:00:00,,,,,,,,,,,,,,,,
2020-07-06 18:00:00,,,,,,,,,,,,,,,,
2020-07-06 19:00:00,,,,,,,,,,,,,,,,
2020-07-06 20:00:00,,,,,,,,,,,,,,,,
2020-07-06 21:00:00,,,,,,,,,,,,,,,,
2020-07-06 22:00:00,,,,,,,,,,,,,,,,
2020-07-06 23:00:00,,,,,,,,,,,,,,,,
2020-07-07 00:00:00,,,,,,,,,,,,,,,,
2020-07-07 01:00:00,,,,,,,,,,,,,,,,
2020-07-07 02:00:00,,,,,,,,,,,,,,,,
2020-07-07 03:00:00,,,,,,,,,,,,,,,,
2020-07-07 04:00:00,,,,,,,,,,,,,,,,
2020-07-07 05:00:00,,,,,,,,,,,,,,,,
2020-07-07 06:00:00,,,,,,,,,,,,,,,,
2020-07-07 07:00:00,,,,,,,,,,,,,,,,
2020-07-07 08:00:00,,,,,,,,,,,,,,,,
2020-07-07 09:00:00,,,,,,,,,,,,,,,,
2020-07-07 10:00:00,,,,,,,,,,,,,,,,
2020-07-07 11:00:00,,,,,,,,,,,,,,,,
2020-07-07 12:00:00,,,,,,,,,,,,,,,,
2020-07-07 13:00:00,,,,,,,,,,,,,,,,
2020-07-07 14:00:00,,,,,,,,,,,,,,,,
2020-07-07 15:00:00,,,,,,,,,,,,,,,,
2020-07-07 16:00:00,,,,,,,,,,,,,,,,
2020-07-07 17:00:00,,,,,,,,,,,,,,,,
2020-07-07 18:00:00,,,,,,,,,,,,,,,,
2020-07-07 19:00:00,2725.74,,,,,,,,4.415,,,,,,,
2020-07-07 20:00:00,2725.744,,,,,2725.647,,,4.415,,,,,5.962,,
2020-07-07 21:00:00,2725.747,,,,,2725.647,,,4.415,,,,,5.962,,
2020-07-07 22:00:00,2725.746,,,,,2725.647,,,4.415,,,,,5.962,,
2020-07-07 23:00:00,2725.747,,,,,2725.647,,,4.415,,,,,5.962,,
2020-07-08 00:00:00,2725.745,,,,,2725.645,,,4.415,,,,,5.962,,
2020-07-08 01:00:00,2725.744,,,,,2725.642,,,4.415,,,,,5.962,,
2020-07-08 02:00:00,2725.744,,,,,2725.641,,,4.415,,,,,5.962,,
2020-07-08 03:00:00,2725.742,,,,,2725.639,,,4.415,,,,,5.962,,
2020-07-08 04:00:00,2725.738,,,,,2725.635,,,4.311,,,,,5.962,,
2020-07-08 05:00:00,2725.739,,,,,2725.636,,,4.415,,,,,5.962,,
2020-07-08 06:00:00,2725.739,,,,,2725.634,,,4.415,,,,,5.962,,
2020-07-08 07:00:00,2725.737,,,,,2725.632,,,4.415,,,,,5.962,,
2020-07-08 08:00:00,2725.737,,,,,2725.633,,,4.311,,,,,5.962,,
2020-07-08 09:00:00,2725.734,,,,,2725.63,,,4.311,,,,,6.064,,
2020-07-08 10:00:00,2725.731,,,,,2725.628,,,4.311,,,,,6.064,,
2020-07-08 11:00:00,2725.73,,,,,2725.627,,,4.311,,,,,6.064,,
2020-07-08 12:00:00,2725.727,,,,,2725.623,,,4.311,,,,,6.064,,
2020-07-08 13:00:00,2725.726,,,,,2725.624,,,4.311,,,,,6.064,,
2020-07-08 14:00:00,2725.726,,,,,2725.622,,,4.311,,,,,6.064,,
2020-07-08 15:00:00,2725.725,,,,,2725.62,,,4.311,,,,,6.064,,
2020-07-08 16:00:00,2725.725,,,,,2725.622,,,4.311,,,,,6.064,,
2020-07-08 17:00:00,2725.725,,,,,2725.623,,,4.311,,,,,6.064,,
2020-07-08 18:00:00,2725.728,,,,,2725.626,,,4.415,,,,,6.064,,
2020-07-08 19:00:00,2725.731,,,,,2725.627,,,4.415,,,,,6.064,,
2020-07-08 20:00:00,2725.732,,,,,2725.633,,,4.311,,,,,6.064,,
2020-07-08 21:00:00,2725.734,,,,,2725.634,,,4.311,,,,,6.064,,
2020-07-08 22:00:00,2725.739,,,,,2725.634,,,4.415,,,,,6.064,,
2020-07-08 23:00:00,2725.738,,,,,2725.635,,,4.415,,,,,6.064,,
2020-07-09 00:00:00,2725.738,,,,,2725.632,,,4.415,,,,,6.064,,
2020-07-09 01:00:00,2725.738,,,,,2725.633,,,4.415,,,,,6.064,,
2020-07-09 02:00:00,2725.736,,,,,2725.629,,,4.415,,,,,6.064,,
2020-07-09 03:00:00,2725.736,,,,,2725.629,,,4.415,,,,,6.064,,
2020-07-09 04:00:00,2725.735,,,,,2725.628,,,4.415,,,,,6.064,,
2020-07-09 05:00:00,2725.734,,,,,2725.626,,,4.415,,,,,6.064,,
2020-07-09 06:00:00,2725.732,,,,,2725.624,,,4.415,,,,,6.064,,
2020-07-09 07:00:00,2725.729,,,,,2725.623,,,4.415,,,,,6.064,,
2020-07-09 08:00:00,2725.73,,,,,2725.623,,,4.415,,,,,6.064,,
2020-07-09 09:00:00,2725.729,,,,,2725.623,,,4.415,,,,,6.064,,
2020-07-09 10:00:00,2725.729,,,,,2725.621,,,4.415,,,,,6.166,,
