DateTime.MST,OBJ1-D,OBJ1-M,OBJ1-S,OBJ2-D,OBJ2-M,OBJ2-S,OBJ4-D,OBJ4-M,OBJ4-S,OBJ1-D_T,OBJ1-M_T,OBJ1-S_T,OBJ2-D_T,OBJ2-M_T,OBJ2-S_T,OBJ4-D_T,OBJ4-M_T,OBJ4-S_T
2019-10-25 23:00:00,2725.188,2725.503,2725.286,2724.907,2724.416,2725.113,,,,6.064,6.775,4.934,5.962,6.775,5.347,,,
2019-10-26 00:00:00,2725.173,2725.486,,2724.891,2724.398,2725.095,,,,6.064,6.775,4.934,5.962,6.775,5.347,,,
2019-10-26 01:00:00,2725.177,2725.485,,2724.894,2724.4,2725.097,,,,6.064,6.775,4.934,5.962,6.674,5.347,,,
2019-10-26 02:00:00,2725.18,2725.486,,2724.897,2724.402,2725.1,,,,6.064,6.775,4.934,5.962,6.674,5.347,,,
2019-10-26 03:00:00,2725.186,2725.487,2725.272,2724.899,2724.404,2725.1,,,,6.064,6.775,4.934,5.962,6.674,5.347,,,
2019-10-26 04:00:00,2725.189,2725.486,2725.273,2724.9,2724.406,2725.101,,,,6.064,6.775,4.934,5.962,6.674,5.347,,,
2019-10-26 05:00:00,2725.191,2725.485,2725.276,2724.904,2724.407,2725.103,,,,6.064,6.775,4.934,5.962,6.674,5.347,,,
2019-10-26 06:00:00,2725.193,2725.485,2725.276,2724.905,2724.409,2725.103,,,,6.064,6.775,4.934,5.962,6.674,5.347,,,
2019-10-26 07:00:00,2725.198,2725.486,2725.278,2724.909,2724.411,2725.107,,,,6.064,6.775,4.934,5.962,6.674,5.347,,,
2019-10-26 08:00:00,2725.2,2725.484,2725.28,2724.909,2724.414,2725.108,,,,6.064,6.775,4.934,5.962,6.674,5.347,,,
2019-10-26 09:00:00,2725.205,2725.484,2725.282,2724.913,2724.418,2725.11,,,,6.064,6.775,4.934,5.962,6.674,5.347,,,
2019-10-26 10:00:00,2725.209,2725.485,2725.283,2724.914,2724.419,2725.113,,,,6.064,6.775,4.934,5.962,6.674,5.347,,,
2019-10-26 11:00:00,2725.209,2725.483,2725.285,2724.917,2724.42,2725.114,,,,6.064,6.775,4.934,5.962,6.674,5.347,,,
2019-10-26 12:00:00,2725.216,2725.484,2725.287,2724.92,2724.424,2725.115,,,,6.064,6.674,4.934,5.962,6.674,5.347,,,
2019-10-26 13:00:00,2725.215,2725.482,2725.286,2724.922,2724.425,2725.115,,,,6.064,6.674,4.934,5.962,6.674,5.347,,,
2019-10-26 14:00:00,2725.221,2725.485,2725.29,2724.924,2724.427,2725.119,,,,5.962,6.674,4.934,5.962,6.674,5.347,,,
2019-10-26 15:00:00,2725.223,2725.484,2725.291,2724.927,2724.433,2725.12,,,,5.962,6.674,4.934,5.962,6.674,5.347,,,
2019-10-26 16:00:00,2725.226,2725.484,2725.293,2724.929,2724.434,2725.122,,,,5.962,6.674,4.934,5.86,6.674,5.347,,,
2019-10-26 17:00:00,2725.23,2725.486,2725.293,2724.931,2724.436,2725.124,,,,5.962,6.674,4.934,5.86,6.674,5.244,,,
2019-10-26 18:00:00,2725.231,2725.484,2725.294,2724.931,2724.435,2725.122,,,,5.962,6.674,4.934,5.86,6.674,5.244,,,
2019-10-26 19:00:00,2725.236,2725.486,2725.296,2724.935,2724.437,2725.124,,,,5.962,6.674,4.934,5.86,6.674,5.244,,,
2019-10-26 20:00:00,2725.239,2725.489,2725.299,2724.937,2724.439,2725.127,,,,5.962,6.674,4.934,5.86,6.674,5.244,,,
2019-10-26 21:00:00,2725.241,2725.488,2725.301,2724.939,2724.44,2725.13,,,,5.962,6.674,4.934,5.86,6.674,5.244,,,
