,date,Q  (m3/s),T (C)
0,2020-10-01,,
1,2020-10-02,,
2,2020-10-03,,
3,2020-10-04,,
4,2020-10-05,,
5,2020-10-06,,
6,2020-10-07,,
7,2020-10-08,,
8,2020-10-09,,
9,2020-10-10,,
10,2020-10-11,,
11,2020-10-12,,
12,2020-10-13,,
13,2020-10-14,,
14,2020-10-15,,
15,2020-10-16,,
16,2020-10-17,,
17,2020-10-18,,
18,2020-10-19,,
19,2020-10-20,,
20,2020-10-21,,
21,2020-10-22,,
22,2020-10-23,,
23,2020-10-24,,
24,2020-10-25,,
25,2020-10-26,,
26,2020-10-27,,
27,2020-10-28,,
28,2020-10-29,,
29,2020-10-30,,
30,2020-10-31,,
31,2020-11-01,,
32,2020-11-02,,
33,2020-11-03,,
34,2020-11-04,,
35,2020-11-05,,
36,2020-11-06,,
37,2020-11-07,,
38,2020-11-08,,
39,2020-11-09,,
40,2020-11-10,,
41,2020-11-11,0.15291905545333512,2.4825722983257226
42,2020-11-12,0.1409412494510289,2.3867669753086407
43,2020-11-13,0.13538377541638635,1.886072530864198
44,2020-11-14,0.15485218556415187,1.0222608024691353
45,2020-11-15,0.1389886808957488,1.9810956790123495
46,2020-11-16,0.13689505404825797,2.449228395061729
47,2020-11-17,0.13505972613461725,2.2930555555555565
48,2020-11-18,0.1353741159867988,2.7228395061728388
49,2020-11-19,0.14174688427503204,3.264004629629627
50,2020-11-20,0.14215639083393475,2.996373456790124
51,2020-11-21,0.14689019797065211,3.013618827160492
52,2020-11-22,0.14403950507076824,2.537345679012348
53,2020-11-23,0.14723088419258265,2.8628472222222214
54,2020-11-24,0.15119422959636875,2.484259259259259
55,2020-11-25,0.14465511600988923,1.474768518518519
56,2020-11-26,0.14595677666854345,1.1241898148148128
57,2020-11-27,0.13826335731951456,1.0759259259259242
58,2020-11-28,0.13748773900551814,0.38109567901234565
59,2020-11-29,0.14060599842053045,0.05771604938271582
60,2020-11-30,0.14847130053057345,0.2579089506172838
61,2020-12-01,0.1719555834348913,0.23730709876543118
62,2020-12-02,0.17363097207779796,0.5464891975308637
63,2020-12-03,0.18069628217684736,0.48580246913580183
64,2020-12-04,0.137758957302965,0.5340663580246914
65,2020-12-05,0.14339641084221488,0.5906635802469142
66,2020-12-06,0.16813212169405556,0.5629629629629636
67,2020-12-07,0.14361834607846627,0.33931327160493835
68,2020-12-08,0.2063131532465016,0.5894675925925926
69,2020-12-09,0.1684826285522642,0.6289737654320988
70,2020-12-10,0.127803022551072,0.6084876543209893
71,2020-12-11,0.1312269340181773,0.763580246913581
72,2020-12-12,0.2287486948954514,0.5629629629629617
73,2020-12-13,0.20444680863002435,0.6514660493827152
74,2020-12-14,0.15740120758645765,0.7342592592592594
75,2020-12-15,0.2637145010614097,0.8021990740740732
76,2020-12-16,0.2362488342189874,0.9364583333333327
77,2020-12-17,0.1722640159729005,0.9139660493827161
78,2020-12-18,0.14260749172458506,1.3418595679012304
79,2020-12-19,0.2611704194587204,1.0647376543209868
80,2020-12-20,0.3324876824215883,1.0861882716049363
81,2020-12-21,0.1435741763598176,1.2469135802469131
82,2020-12-22,0.2059634286272688,0.9084876543209872
83,2020-12-23,0.2160354006516051,0.7242283950617276
84,2020-12-24,0.1720181468275106,0.7086805555555556
85,2020-12-25,0.21779221884910965,0.7591820987654319
86,2020-12-26,0.18693599915432393,0.9535108024691346
87,2020-12-27,0.14061751994530103,1.1703317901234576
88,2020-12-28,0.143293664688562,1.0671682098765438
89,2020-12-29,0.2247465303086863,0.9459490740740739
90,2020-12-30,0.16922571221769214,0.6501543209876544
91,2020-12-31,0.16021421787229573,0.8413966049382717
92,2021-01-01,0.19382906129236738,0.9571759259259262
93,2021-01-02,0.1699701120846003,0.9017361111111101
94,2021-01-03,0.22880175657889124,1.252314814814812
95,2021-01-04,0.2999385164675872,1.1807870370370335
96,2021-01-05,0.1476601735893298,1.0150848765432101
97,2021-01-06,0.253227589553253,0.80378086419753
98,2021-01-07,0.21159304757402023,0.8473765432098767
99,2021-01-08,0.17738143417660104,0.8954475308641983
100,2021-01-09,0.3166186356094808,0.8346450617283944
101,2021-01-10,0.18374412830229567,0.7882716049382714
102,2021-01-11,0.17350661281181443,0.6686728395061725
103,2021-01-12,0.18812454194672915,0.6532407407407407
104,2021-01-13,0.169686942569307,1.0268518518518512
105,2021-01-14,0.17072966967096545,0.8059027777777776
106,2021-01-15,0.17039808238947896,0.9934027777777786
107,2021-01-16,0.13688763540149446,1.3203317901234581
108,2021-01-17,0.13281620467964547,1.5566358024691347
109,2021-01-18,0.13314850795610667,1.408564814814813
110,2021-01-19,0.2081894851002504,1.134066358024691
111,2021-01-20,0.14893710269038007,1.2910493827160456
